A=7064 B=6735 C=9638 X=888900875 Y=4772346847 Z=83962030001 M=3371
A=5135 B=8108 C=6945 X=935605390 Y=3158821948 Z=54288589874 M=6610
A=8659 B=6276 C=7375 X=623230396 Y=3977153598 Z=29492012989 M=2702
A=8251 B=8314 C=5656 X=442154184 Y=2894938209 Z=81599570348 M=4233
A=3249 B=8070 C=6128 X=445996855 Y=2970133829 Z=17068243276 M=5044
A=8131 B=4776 C=6821 X=243864139 Y=8775273684 Z=29173478360 M=4811
A=9977 B=6435 C=7443 X=562494791 Y=3577193805 Z=79607777735 M=9889
A=9223 B=5979 C=5958 X=308381426 Y=1873955652 Z=99674797892 M=4686
A=9604 B=6229 C=6814 X=526078698 Y=5878628406 Z=56233102276 M=4018
A=5262 B=9551 C=6051 X=184429395 Y=8281794817 Z=77152988136 M=3607
A=6699 B=6334 C=5171 X=667901312 Y=2175023664 Z=39680209225 M=4956
A=3888 B=4889 C=8579 X=362234731 Y=4754080557 Z=53457471242 M=7637
A=5991 B=5677 C=5489 X=880580517 Y=9690776298 Z=26494502565 M=8188
A=8210 B=9199 C=9231 X=569297700 Y=7579758204 Z=28152850659 M=7715
A=2301 B=3580 C=9503 X=564623017 Y=4033833995 Z=62729112220 M=8819
A=8198 B=8718 C=8528 X=795300881 Y=3224972938 Z=15621828870 M=1307
A=8477 B=7290 C=5707 X=709187509 Y=6577811486 Z=59748480202 M=6339
A=4298 B=3680 C=8310 X=903820040 Y=1183537539 Z=99318564871 M=5083
A=2867 B=6594 C=6683 X=286888751 Y=5014913690 Z=81052191219 M=8967
A=6422 B=8254 C=9068 X=893659845 Y=2719939066 Z=61070001931 M=2305
A=8133 B=5824 C=8356 X=103255746 Y=1348289295 Z=44567686743 M=1150
A=7798 B=4571 C=6031 X=784009818 Y=7126248593 Z=18396181285 M=2247
A=2896 B=4906 C=6632 X=973064253 Y=6195414028 Z=62433835072 M=8614
A=5625 B=3267 C=8880 X=681317728 Y=5440043909 Z=53981413093 M=8619
A=9213 B=7344 C=5997 X=670318189 Y=3660859954 Z=62999297958 M=8123
A=4678 B=7159 C=7267 X=514329759 Y=6438283134 Z=56545783902 M=5125
A=2763 B=7859 C=9088 X=902805385 Y=8235996107 Z=99785718922 M=3980
A=2841 B=9151 C=6920 X=348501334 Y=8372651263 Z=29748671854 M=4122
A=4725 B=8051 C=6174 X=705711675 Y=2022590381 Z=35314536220 M=4442
A=9358 B=6250 C=8440 X=444377810 Y=9712641207 Z=80022163828 M=7390
A=4371 B=6520 C=7928 X=889033187 Y=8189091309 Z=24980085595 M=6176
A=2159 B=3685 C=5709 X=333103905 Y=6564406595 Z=30941563969 M=6360
A=7755 B=5240 C=5256 X=162330175 Y=9542745932 Z=77158485705 M=1065
A=9044 B=9414 C=5883 X=697979728 Y=5024835247 Z=24684815671 M=4560
A=9025 B=7334 C=9567 X=765327192 Y=6383575390 Z=91138761098 M=3418
A=9704 B=5113 C=7654 X=313216446 Y=3521960857 Z=39548211379 M=5181
A=4776 B=8870 C=5085 X=364347245 Y=4993982044 Z=60044141091 M=5962
A=5305 B=9144 C=8668 X=678187263 Y=4679201904 Z=69947586546 M=8047
A=5897 B=3210 C=6350 X=392239356 Y=5430207781 Z=22671698670 M=7051
A=9394 B=3700 C=9567 X=554130153 Y=6794298300 Z=13705822696 M=1030
A=6686 B=6566 C=5977 X=388492487 Y=3469086411 Z=88077997695 M=6675
A=4085 B=6317 C=8258 X=735367613 Y=9962822961 Z=20200457003 M=6804
A=4490 B=7644 C=5890 X=967232638 Y=2906198474 Z=50767993284 M=1859
A=3074 B=9447 C=5216 X=549124994 Y=3274400289 Z=74164844269 M=4460
A=9490 B=7429 C=5074 X=265812836 Y=1949196356 Z=93737387554 M=4636
A=8232 B=3220 C=6141 X=942340665 Y=6931593090 Z=71507315816 M=1835
A=9872 B=4471 C=7990 X=174001804 Y=5207169306 Z=46559090482 M=8841
A=6472 B=3872 C=6999 X=559789546 Y=4426269471 Z=72362279126 M=2942
A=6770 B=9301 C=6544 X=339707024 Y=7911621637 Z=79246115657 M=4445
A=9318 B=4435 C=6191 X=167002541 Y=1840733109 Z=99769814288 M=2095
A=3942 B=4153 C=5895 X=985746067 Y=1732767240 Z=31179681758 M=3549
A=2296 B=6507 C=7646 X=939972820 Y=7998181428 Z=96755163830 M=3900
A=2503 B=9168 C=5578 X=207004993 Y=9560276645 Z=15617447752 M=7322
A=8488 B=9649 C=5360 X=554117392 Y=4820025117 Z=44302931505 M=3848
A=3644 B=7461 C=8790 X=432491504 Y=2367791825 Z=53341463191 M=1926
A=4760 B=6195 C=9423 X=541474371 Y=2085287272 Z=93293912583 M=9458
A=3168 B=5408 C=7387 X=862747322 Y=4835423353 Z=76533645048 M=9781
A=5965 B=8453 C=8385 X=670424797 Y=8726924160 Z=50716259088 M=9883
